siteName,siteStatus,siteAddress,siteState,siteZip,contactPhone,startDate,endDate,daysofOperation,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,latitude,longitude
Benewah Community Center,,"11640 Benewah Creek Road St. Maries, ID 83861",ID,83861,2082451309,3/23/2020,6/30/2020,,,,,,,47.225532,-116.7842504
Bicentennial Park,,"Abraham St Chubbuck, ID 83202",ID,83202,2082353256,3/25/2020,5/30/2020,,,,,,,42.9365449,-112.4695654
Bickel Elementary School,,"607 2nd Ave E Twin Falls, ID 83301",ID,83301,2087330134,3/30/2020,4/30/2020,,,,,,,42.5521012,-114.4624203
Big Cedar Bus Route AM and PM sites,,"446 Crane Hill Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.0605807,-115.8034877
Big Cedar Bus Route AM and PM sites,,"202 Pine Hollow Lane Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1460995,-115.975961
Big Cedar Bus Route AM and PM sites,,"263 Crane Hill Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.07298429999999,-115.7952949
Big Cedar Bus Route AM and PM sites,,"217 Crane Hill Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.0774358,-115.7959557
Big Cedar Bus Route AM and PM sites,,"143 Crane Hall Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1448942,-115.9779189
Big Cedar Bus Route AM and PM sites,,"146 Cedar Hollow Lane Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.07142169999999,-115.8144601
Big Cedar Bus Route AM and PM sites,,"791 Big Cedar Rd Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.0774215,-115.8056816
Big Cedar Bus Route AM and PM sites,,"46°04'45.8""N 115°48'29.9""W Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.144141,-115.969101
Big Cedar Bus Route AM and PM sites,,"Intersection RED FIR and Old School House Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1461422,-115.9744269
Big Cedar Bus Route AM and PM sites,,"Intersection CEDAR CREEK and Falcon Ridge Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.063767,-115.845687
Big Cedar Bus Route AM and PM sites,,"414 Big Cedar Road Kooskia Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.071071,-115.8480952
Big Cedar Bus Route AM and PM sites,,"Intersection HAWTHORNE and Big Cedar Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.07790130000001,-115.8188814
Big Cedar Bus Route AM and PM sites,,"Intersection WILD PLUM  & BIG CEDAR RD Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.0876394,-115.8618403
Big Cedar Bus Route AM and PM sites,,"Intersection Mulledy and Leitch Creek Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.09508049999999,-115.9033027
Big Cedar Bus Route AM and PM sites,,"469 LEITCH CREEK RD Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1085921,-115.9107686
Big Cedar Bus Route AM and PM sites,,"Intersection Long Bluff Road and Leitch Creek Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.103509,-115.906747
Big Cedar Bus Route AM and PM sites,,"Intersection Mulledy Road and Leitch Creek Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.09508049999999,-115.9033027
Big Sky,,"Intersection Falcon Circle E and Curlew Road American Falls, ID 83211",ID,83211,2082214830,3/30/2020,5/1/2020,,,,,,,42.9240235,-112.6367123
Big Sky Dairy Housing,,"2300 S 1400 E Gooding, ID 83330",ID,83330,2089344321,3/18/2020,6/30/2020,,,,,,,42.8655917,-114.8095512
Big Sky Heifer Ranch,,"1500 S 2050 E Gooding, ID 83330",ID,83330,2089344321,3/18/2020,6/30/2020,,,,,,,42.9820438,-114.6834663
Birch Elementary School,,"6900 Birch Lane Nampa, ID 83688",ID,83688,2084549614,3/30/2020,5/29/2020,,,,,,,43.613248,-116.53131
Blackfoot Heritage Sixth Grade,,"50 S Shilling Ave Blackfoot, ID 83221",ID,83221,2087858861,3/23/2020,4/3/2020,,,,,,,43.1867496,-112.3427371
Blue Haven Mobile Home Park,,"110 Blue Haven Lane Ketchum, ID 83353",ID,83353,2085785000,3/18/2020,4/3/2020,,,,,,,43.6494502,-114.3483726
Borah Elementary,,"632 E. Borah Ave. Coeur d' Alene, ID  83814",ID ,83814,2089290220,3/23/2020,6/30/2020,,,,,,,47.698532,-116.777275
Boundary County Middle School,,"6577 Main St. 100 Bonners Ferry, ID 83805",ID,83805,2082675519,3/23/2020,5/31/2020,"M,T,W,Th",,,,,,48.6797868,-116.325919
Bovill Elementary School ,,"410 3rd Avenue Bovill, ID 83806",ID,83806,2088771152,3/23/2020,3/27/2020,,,,,,,46.8595397,-116.3935464
Bridgewater Elementary,,"1499 Indian Hollow Dr. Idaho Falls, ID 83401",ID,83401,2082279671,3/16/2020,6/30/2020,,,,,,,43.5093404,-111.9659749
Bryan Elementary,,"820 Harrison Ave. Coeur d' Alene, ID  83814",ID ,83814,2089290220,3/23/2020,6/30/2020,,,,,,,47.6859314,-116.7749413
Burley High School,,"2100 Parke Ave Burley, ID 83318",ID,83318,2088786626,3/30/2020,4/3/2020,,,,,,,42.52657079999999,-113.8042436
Bus Route,,"213 Hells Gulch Road St. Maries, ID 83861",ID,83861,2086893511,3/19/2020,6/30/2020,,,,,,,47.3274157,-116.5697104
Bus Route,,"7407 Hells Gulch Road St. Maries, ID 83861",ID,83861,2086893511,3/19/2020,6/30/2020,,,,,,,47.3729302,-116.5927819
Bus Route,,"31465 S Hells Gulch Road St. Maries, ID 83861",ID,83861,2086893511,3/19/2020,6/30/2020,,,,,,,47.390823,-116.654897
Bus Route,,"Mission Point Lane St. Maries, ID 83861",ID,83861,2086893511,3/19/2020,6/30/2020,,,,,,,47.3668488,-116.6775535
Bus Route,,"Indian Mountain Road Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.3894403,-116.7140817
Bus Route,,"5683 E O'Gara Road Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.417236,-116.7416359
Bus Route,,"2102 E O'Gara Rod Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.442842,-116.769634
Bus Route,,"Harrison City Hall 100 N Frederick Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.4534526,-116.7873176
Bus Route,,"200 S Coeur d'Alene Avenue Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.453362,-116.786456
Bus Route,,"Skyline and Van Dusen Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.44384960000001,-116.7185122
Bus Route,,"4202 E Van Dusen Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.4438591,-116.7235573
Bus Route,,"4995 E Van Dusen Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.444018,-116.7114829
Bus Route 2,,"24338 Highway 3 Medimont, ID 83842",ID,83842,2086893511,3/19/2020,6/30/2020,,,,,,,47.504588,-116.543257
Bus Route 2,,"28260 Highway 3 Medimont, ID 83842",ID,83842,2086893511,3/19/2020,6/30/2020,,,,,,,47.478432,-116.571915
Bus Route 2,,"22090 Highway 3 Medimont, ID 83842",ID,83842,2086893511,3/19/2020,6/30/2020,,,,,,,47.513901,-116.519106
Bus Route 2,,"21700 S Lake Street Medimont, ID 83842",ID,83842,2086893511,3/19/2020,6/30/2020,,,,,,,47.475891,-116.604202
Bus Route 2,,"35775 Highway 3 Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.456998,-116.6372301
Bus Route 2,,"36124 Highway 3 Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.454127,-116.638722
Bus Route 2,,"Highway 3 mile marker 100 Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.4543498,-116.7854567
Bus Route 2,,"Wood Duck Lane Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.4220581,-116.6277228
Bus Route 2,,"40475 Highway 3 Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.42058,-116.625097
Bus Route 2,,"44793 Highway 3 Harrison, ID 83833",ID,83833,2086893511,3/19/2020,6/30/2020,,,,,,,47.40992540000001,-116.6624089
Bus Route Feeding Route to Garden Valley School,,"1044 Banks Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.095901,-115.957929
Bus Route Feeding Route to Garden Valley School,,"15 Timber Ln Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1078436,-115.9903659
Bus Route Feeding Route to Garden Valley School,,"Frazier Creek Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0930835,-116.0232821
Bus Route Feeding Route to Garden Valley School,,"Rivers Point Ln Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0919511,-115.9544145
Bus Route Feeding Route to Garden Valley School,,"856 Banks Lowman Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0749728,-115.9454196
Bus Route Feeding Route to Garden Valley School,,"Sawmill Ln Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1173324,-115.963918
Bus Route Feeding Route to Garden Valley School,,"290 S Middlefork Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.11719859999999,-115.9744742
Bus Route Feeding Route to Garden Valley School,,"Wander Inn Garden Valley Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1160052,-115.9711231
Bus Route Feeding Route to Garden Valley School,,"486 S Middlefork Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1159817,-115.9711382
Bus Route Feeding Route to Garden Valley School,,"Castle Mountain Dr. Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1507079,-115.997032
Bus Route Feeding Route to Garden Valley School,,"Old Crouch Road Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1074772,-115.9696029
Bus Route Feeding Route to Garden Valley School,,"25 Miracle Ln Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0903358,-115.9814834
Bus Route Feeding Route to Garden Valley School,,"Branson Drive Lowman, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0809804,-115.6186743
Bus Route Feeding Route to Garden Valley School,,"South Fork Loop Lowman, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0809313,-115.6198621
Bus Route Feeding Route to Garden Valley School,,"8406 ID-21 Lowman, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1126649,-115.4371619
Bus Route Feeding Route to Garden Valley School,,"7600 High Way 21 Lowman, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0750316,-115.5570001
Bus Route Feeding Route to Garden Valley School,,"7359 ID-21 Lowman, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0783333,-115.6025
Bus Route Feeding Route to Garden Valley School,,"Southfork Ln Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.070138,-115.948404
Bus Route Feeding Route to Garden Valley School,,"Elzie Ln Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.08795019999999,-115.9513911
Bus Route Feeding Route to Garden Valley School,,"17 Tucker Ln Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0880866,-115.9547395
Bus Route Feeding Route to Garden Valley School,,"Castle Mountain Mailboxes Garden Valley Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1507079,-115.997032
Bus Route Feeding Route to Garden Valley School,,"Warm Springs Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.153647,-115.988482
Bus Route Feeding Route to Garden Valley School,,"126 Warm Springs Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1537872,-115.9887974
Bus Route Feeding Route to Garden Valley School,,"Shilo Ranch & McBride Creek Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1466039,-115.9938633
Bus Route Feeding Route to Garden Valley School,,"12 Lightning Creek Cir Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.195184,-115.931974
Bus Route Feeding Route to Garden Valley School,,"35 Crossbow Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.19314600000001,-115.947779
Bus Route Feeding Route to Garden Valley School,,"51 Wagon Springs Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.19127779999999,-115.9473631
Bus Route Feeding Route to Garden Valley School,,"Bunch Drive Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1907977,-115.9424969
Bus Route Feeding Route to Garden Valley School,,"Riffle Ln Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.18857490000001,-115.9490857
Bus Route Feeding Route to Garden Valley School,,"Wooded River Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1843545,-115.950491
Bus Route Feeding Route to Garden Valley School,,"Scriver Creek Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1836866,-115.975047
Bus Route Feeding Route to Garden Valley School,,"Scriver Bluff Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.17385729999999,-115.9645656
Bus Route Feeding Route to Garden Valley School,,"River Road Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.16312140000001,-115.9604448
Bus Route Feeding Route to Garden Valley School,,"Quail Run Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1594716,-115.9652233
Bus Route Feeding Route to Garden Valley School,,"Smith Creek Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.15599810000001,-115.9621035
Bus Route Feeding Route to Garden Valley School,,"Veterinary Way Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.146229,-115.9680181
Bus Route Feeding Route to Garden Valley School,,"Valley High Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1388685,-115.9768532
Bus Route Feeding Route to Garden Valley School,,"Baker Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.134665,-115.9745978
Bus Route Feeding Route to Garden Valley School,,"Packer John Dr. Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1155907,-115.9753154
Bus Route Feeding Route to Garden Valley School,,"Starlight Mountain Theatre Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.1121428,-115.9747522
Bus Route Feeding Route to Garden Valley School,,"1053 Banks Lowman Rd Garden Valley, ID 83622",ID,83622,2084623756,3/30/2020,6/1/2020,,,,,,,44.0909355,-115.9594491
Bus Stop - 39 Brownlee Rd,,"39 Brownlee Rd Horseshoe Bend, ID  83629",ID ,83629,2087932225,3/30/2020,6/30/2020,,,,,,,43.977416,-116.195907
Bus Stop - Harris Creek & Harleywood Blvd,,"Harris Creek & Harleywood Blvd Horseshoe Bend, ID  83629",ID ,83629,2087932225,3/30/2020,6/30/2020,,,,,,,43.8790272,-116.0703943
Bus Stop - Porter Creek & Zimmer Ln,,"Porter Creek & Zimmer Ln Horseshoe Bend, ID  83629",ID ,83629,2087932225,3/30/2020,6/30/2020,,,,,,,43.9557615,-116.1377857
Bus Stop 1,,"9936 W E ST, WORLEY ID 83876 Worley, ID 83876",ID,83876,2086862194,3/23/2020,6/30/2020,,,,,,,47.401469,-116.921652
Bus Stop 1,,"30203 S 1st  Street Worley Worley, ID 83876",ID,83876,2086862194,3/23/2020,6/30/2020,,,,,,,47.3969095,-116.9172317
Bus Stop 1,,"East of Pete Silas Road on Bald Eagle Lane Worley, ID 83876",ID,83876,2086862194,3/23/2020,6/30/2020,,,,,,,47.3950094,-116.9156934
Bus Stop 1,,"East of Pete Silas Road on Red Tail Hawk Lane Worley, ID 83876",ID,83876,2086862194,3/23/2020,6/30/2020,,,,,,,47.3950094,-116.9156934
Bus Stop 2,,"1005 8th Street Plummer, ID 83851",ID,83851,2086862194,3/23/2020,6/30/2020,,,,,,,47.32628930000001,-116.8853398
Bus Stop 2,,"281 G Street Plummer, ID 83851",ID,83851,2086862194,3/23/2020,6/30/2020,,,,,,,47.330759,-116.877179
Bus Stop 2,,"520 C Street Plummer, ID 83851",ID,83851,2086862194,3/23/2020,6/30/2020,,,,,,,47.3357584,-116.8815588
Bus Stop 3,,"382119 US-95 Tensed, ID 83870",ID,83870,2086862194,3/23/2020,6/30/2020,,,,,,,47.16020109999999,-116.9231788
Bus Stop 3,,"Old Agency Loop Road OFF Agency Plummer, ID 83851",ID,83851,2086862194,3/23/2020,6/30/2020,,,,,,,47.3125279,-116.9558323
Bus  Stop 3,,"111 Byrnes Avenue Desmet, ID 83824",ID,83824,2086862194,3/23/2020,6/30/2020,,,,,,,47.1459787,-116.9162023
Bussing Route (Cheney Bus),,"1800 E Ave W Gooding, ID 83330",ID,83330,2089344321,3/17/2020,6/30/2020,,,,,,,42.9458349,-114.7325428
Bust Stop 1,,"3rd and H Street Worley Worley, ID 83876",ID,83876,2086862194,3/23/2020,6/30/2020,,,,,,,47.3986604,-116.9203701
Caldwell High School,,"3401 South Indiana Caldwell, ID 83605",ID,83605,2084553331,3/18/2020,6/30/2020,,,,,,,43.6390396,-116.6689815
Caldwell Park,,"S 8th Avenue and E Center Street Pocatello, ID 83201",ID,83201,2082353256,3/25/2020,5/30/2020,,,,,,,42.8684634,-112.4404557
Canyon Elementary School,,"27491 E Schoolhouse Loop Cataldo, ID 83810",ID,83810,2087841348,3/23/2020,4/3/2020,,,,,,,47.575558,-116.413604
Carey School,,"20 Panther Lane Carey , ID 83320",ID,83320,2085785000,3/18/2020,4/3/2020,,,,,,,43.3137389,-113.9431188
Castleford School,,"500 Main Street Castleford, ID 83321",ID,83321,2085376511208,3/30/2020,6/30/2020,,,,,,,42.5210144,-114.8748492
Centennial Elementary School,,"522 Mason Ln Nampa, ID 83651",ID,83651,2084684607,3/30/2020,4/21/2020,,,,,,,43.563766,-116.5826064
Centerville Fire Dept.,,"115 Grimes Pass Rd. Idaho City , ID 83631",ID,83631,2083924183,3/30/2020,6/30/2020,,,,,,,43.894567,-115.904735
Central Elementary,,"1415 5th St S Nampa, ID 83651",ID,83651,2084684607,3/30/2020,4/21/2020,,,,,,,43.5734535,-116.5619901
Challis Elementary,,"950 Bluff Ave Challis, ID 83226",ID,83226,2088332123,3/30/2020,5/22/2020,,,,,,,44.5073539,-114.2300726
Chief Joseph School of Arts,,"1100 E Chateau Dr. Meridian, ID 83642",ID,83642,2083505109,3/20/2020,6/30/2020,,,,,,,43.625926,-116.380089
Clark Fork Jr/Sr School,,"502 North Main St. Clark Fork, ID 83811",ID,83811,20826321841018,3/19/2020,6/30/2020,,,,,,,48.1470577,-116.1771981
Clear Creek/Pole Yard Bus Route ,,"413 Main St Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1348231,-115.9777271
Clear Creek/Pole Yard Bus Route ,,"257 Thenon St. Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.138746,-115.9813244
Clear Creek/Pole Yard Bus Route ,,"301 Thenon Street Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1364131,-115.981987
Clear Creek/Pole Yard Bus Route ,,"306 Pine St. Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1461422,-115.9744269
Clear Creek/Pole Yard Bus Route ,,"412 Toll Rd Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.12297419999999,-115.9451719
Clear Creek/Pole Yard Bus Route ,,"1251 Clearcreek Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.0937018,-115.9364797
Clear Creek/Pole Yard Bus Route ,,"Intersection Clearcreek Road and Elk Meadows Road Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.086012,-115.9145645
